abbreviation,time,year,month,day,hour,minute,second,last_price,change,%_change
BINANCE:BTCUSDT,2021-11-30T18:36:36.000+0000,2021,11,30,18,36,36,58786.01,-10.42,-0.0177
BINANCE:BTCUSDT,2021-11-30T18:36:37.000+0000,2021,11,30,18,36,37,58787.94,1.93,0.0033
BINANCE:BTCUSDT,2021-11-30T18:36:38.000+0000,2021,11,30,18,36,38,58786.14,-1.8,-0.0031
BINANCE:BTCUSDT,2021-11-30T18:36:39.000+0000,2021,11,30,18,36,39,58784.62,-1.52,-0.0026
BINANCE:BTCUSDT,2021-11-30T18:36:40.000+0000,2021,11,30,18,36,40,58787.62,3,0.0051
BINANCE:BTCUSDT,2021-11-30T18:36:41.000+0000,2021,11,30,18,36,41,58800,12.38,0.0211
BINANCE:BTCUSDT,2021-11-30T18:36:42.000+0000,2021,11,30,18,36,42,58828.43,28.43,0.0483
BINANCE:BTCUSDT,2021-11-30T18:36:43.000+0000,2021,11,30,18,36,43,58818,-10.43,-0.0177
BINANCE:BTCUSDT,2021-11-30T18:36:44.000+0000,2021,11,30,18,36,44,58818,0,0
BINANCE:BTCUSDT,2021-11-30T18:36:45.000+0000,2021,11,30,18,36,45,58814.99,-3.01,-0.0051
BINANCE:BTCUSDT,2021-11-30T18:36:46.000+0000,2021,11,30,18,36,46,58812.34,-2.65,-0.0045
BINANCE:BTCUSDT,2021-11-30T18:36:47.000+0000,2021,11,30,18,36,47,58812.36,0.02,0
BINANCE:BTCUSDT,2021-11-30T18:36:48.000+0000,2021,11,30,18,36,48,58820.99,8.63,0.0147
BINANCE:BTCUSDT,2021-11-30T18:36:49.000+0000,2021,11,30,18,36,49,58844.01,23.02,0.0391
BINANCE:BTCUSDT,2021-11-30T18:36:50.000+0000,2021,11,30,18,36,50,58837.63,-6.38,-0.0108
BINANCE:BTCUSDT,2021-11-30T18:36:51.000+0000,2021,11,30,18,36,51,58853.31,15.68,0.0266
BINANCE:BTCUSDT,2021-11-30T18:36:52.000+0000,2021,11,30,18,36,52,58853.78,0.47,0.0008
BINANCE:BTCUSDT,2021-11-30T18:36:53.000+0000,2021,11,30,18,36,53,58860.9,7.12,0.0121
BINANCE:BTCUSDT,2021-11-30T18:36:54.000+0000,2021,11,30,18,36,54,58873.77,12.87,0.0219
BINANCE:BTCUSDT,2021-11-30T18:36:55.000+0000,2021,11,30,18,36,55,58873.77,0,0
BINANCE:BTCUSDT,2021-11-30T18:36:56.000+0000,2021,11,30,18,36,56,58873.77,0,0
