current_price,abbreviation,date,year,month,day,hour,minute,second
58796.43,BINANCE:BTCUSDT,2021-11-30T18:36:35.000+0000,2021,11,30,18,36,35
58786.01,BINANCE:BTCUSDT,2021-11-30T18:36:36.000+0000,2021,11,30,18,36,36
58787.94,BINANCE:BTCUSDT,2021-11-30T18:36:37.000+0000,2021,11,30,18,36,37
58786.14,BINANCE:BTCUSDT,2021-11-30T18:36:38.000+0000,2021,11,30,18,36,38
58784.62,BINANCE:BTCUSDT,2021-11-30T18:36:39.000+0000,2021,11,30,18,36,39
58787.62,BINANCE:BTCUSDT,2021-11-30T18:36:40.000+0000,2021,11,30,18,36,40
58800,BINANCE:BTCUSDT,2021-11-30T18:36:41.000+0000,2021,11,30,18,36,41
58828.43,BINANCE:BTCUSDT,2021-11-30T18:36:42.000+0000,2021,11,30,18,36,42
58818,BINANCE:BTCUSDT,2021-11-30T18:36:43.000+0000,2021,11,30,18,36,43
58818,BINANCE:BTCUSDT,2021-11-30T18:36:44.000+0000,2021,11,30,18,36,44
58814.99,BINANCE:BTCUSDT,2021-11-30T18:36:45.000+0000,2021,11,30,18,36,45
58812.34,BINANCE:BTCUSDT,2021-11-30T18:36:46.000+0000,2021,11,30,18,36,46
58812.36,BINANCE:BTCUSDT,2021-11-30T18:36:47.000+0000,2021,11,30,18,36,47
58820.99,BINANCE:BTCUSDT,2021-11-30T18:36:48.000+0000,2021,11,30,18,36,48
58844.01,BINANCE:BTCUSDT,2021-11-30T18:36:49.000+0000,2021,11,30,18,36,49
58837.63,BINANCE:BTCUSDT,2021-11-30T18:36:50.000+0000,2021,11,30,18,36,50
58853.31,BINANCE:BTCUSDT,2021-11-30T18:36:51.000+0000,2021,11,30,18,36,51
58853.78,BINANCE:BTCUSDT,2021-11-30T18:36:52.000+0000,2021,11,30,18,36,52
58860.9,BINANCE:BTCUSDT,2021-11-30T18:36:53.000+0000,2021,11,30,18,36,53
58873.77,BINANCE:BTCUSDT,2021-11-30T18:36:54.000+0000,2021,11,30,18,36,54
58873.77,BINANCE:BTCUSDT,2021-11-30T18:36:55.000+0000,2021,11,30,18,36,55
58873.77,BINANCE:BTCUSDT,2021-11-30T18:36:56.000+0000,2021,11,30,18,36,56
58873.81,BINANCE:BTCUSDT,2021-11-30T18:36:57.000+0000,2021,11,30,18,36,57
58865.66,BINANCE:BTCUSDT,2021-11-30T18:36:58.000+0000,2021,11,30,18,36,58
58874,BINANCE:BTCUSDT,2021-11-30T18:36:59.000+0000,2021,11,30,18,36,59
58860.45,BINANCE:BTCUSDT,2021-11-30T18:37:00.000+0000,2021,11,30,18,37,0
58846.47,BINANCE:BTCUSDT,2021-11-30T18:37:01.000+0000,2021,11,30,18,37,1
58850.21,BINANCE:BTCUSDT,2021-11-30T18:37:02.000+0000,2021,11,30,18,37,2
58850.21,BINANCE:BTCUSDT,2021-11-30T18:37:03.000+0000,2021,11,30,18,37,3
58846.73,BINANCE:BTCUSDT,2021-11-30T18:37:04.000+0000,2021,11,30,18,37,4
58852.6,BINANCE:BTCUSDT,2021-11-30T18:37:05.000+0000,2021,11,30,18,37,5
58852.61,BINANCE:BTCUSDT,2021-11-30T18:37:06.000+0000,2021,11,30,18,37,6
58846.72,BINANCE:BTCUSDT,2021-11-30T18:37:07.000+0000,2021,11,30,18,37,7
58845.38,BINANCE:BTCUSDT,2021-11-30T18:37:08.000+0000,2021,11,30,18,37,8
58845.38,BINANCE:BTCUSDT,2021-11-30T18:37:09.000+0000,2021,11,30,18,37,9
58829.2,BINANCE:BTCUSDT,2021-11-30T18:37:10.000+0000,2021,11,30,18,37,10
58826.2,BINANCE:BTCUSDT,2021-11-30T18:37:11.000+0000,2021,11,30,18,37,11
58841.71,BINANCE:BTCUSDT,2021-11-30T18:37:12.000+0000,2021,11,30,18,37,12
58853.3,BINANCE:BTCUSDT,2021-11-30T18:37:13.000+0000,2021,11,30,18,37,13
58847.25,BINANCE:BTCUSDT,2021-11-30T18:37:14.000+0000,2021,11,30,18,37,14
58840.29,BINANCE:BTCUSDT,2021-11-30T18:37:15.000+0000,2021,11,30,18,37,15
58839.49,BINANCE:BTCUSDT,2021-11-30T18:37:16.000+0000,2021,11,30,18,37,16
